repo_name,repo_owner,repo_url,repo_owner_url,stars
ohmyzsh,ohmyzsh,/ohmyzsh/ohmyzsh,/ohmyzsh,141000.0
fzf,junegunn,/junegunn/fzf,/junegunn,42000.0
bat,sharkdp,/sharkdp/bat,/sharkdp,32299.999999999996
dive,wagoodman,/wagoodman/dive,/wagoodman,29900.0
sherlock,sherlock-project,/sherlock-project/sherlock,/sherlock-project,29500.0
ripgrep,BurntSushi,/BurntSushi/ripgrep,/BurntSushi,29400.0
cheat.sh,chubin,/chubin/cheat.sh,/chubin,28200.0
cli,cli,/cli/cli,/cli,27200.0
lazygit,jesseduffield,/jesseduffield/lazygit,/jesseduffield,25900.0
cobra,spf13,/spf13/cobra,/spf13,25200.0
angular-cli,angular,/angular/angular-cli,/angular,25200.0
awesome-shell,alebcay,/alebcay/awesome-shell,/alebcay,22900.0
python-fire,google,/google/python-fire,/google,21900.0
tqdm,tqdm,/tqdm/tqdm,/tqdm,21100.0
n8n,n8n-io,/n8n-io/n8n,/n8n-io,20800.0
fd,sharkdp,/sharkdp/fd,/sharkdp,20600.0
modern-unix,ibraheemdev,/ibraheemdev/modern-unix,/ibraheemdev,20400.0
pkg,vercel,/vercel/pkg,/vercel,19700.0
ava,avajs,/avajs/ava,/avajs,19600.0
chalk,chalk,/chalk/chalk,/chalk,18000.0
ink,vadimdemedes,/vadimdemedes/ink,/vadimdemedes,17800.0
cli,urfave,/urfave/cli,/urfave,17300.0
svgo,svg,/svg/svgo,/svg,17300.0
.tmux,gpakosz,/gpakosz/.tmux,/gpakosz,15900.0
goaccess,allinurl,/allinurl/goaccess,/allinurl,14300.0
webpack-dashboard,FormidableLabs,/FormidableLabs/webpack-dashboard,/FormidableLabs,13900.0
ignite,infinitered,/infinitered/ignite,/infinitered,13500.0
nnn,jarun,/jarun/nnn,/jarun,13500.0
asdf,asdf-vm,/asdf-vm/asdf,/asdf-vm,13100.0
fx,antonmedv,/antonmedv/fx,/antonmedv,13100.0
